CPU_Name,Price,cpuValue,TDP,powerPerf,Benchmark,Brand,Power_Category,Usage,Power_Category 1,
Intel Xeon Gold 6346 @ 3.10Ghz,169945.03,16.5,205,183.44,37606,Intel,0,High-End,Basic,
Intel Xeon Platinum 8280 @ 2.70Ghz,661470.2022,4.24,205,183.29,37575,Intel,0,High-End,Basic,
Intel Xeon Gold 6238R @ 2.20Ghz,198878.19,14.06,165,227.34,37511,Intel,0,High-End,Basic,
Intel Xeon Silver 4316 @ 2.30Ghz,84205.9354,33,150,248.43,37264,Intel,0,High-End,Basic,
Intel Xeon W-3175X @ 3.10Ghz,119010.7372,23.29,255,145.75,37167,Intel,0,High-End,Basic,
Intel Core I9-12900F,39521.3543,67.41,65,549.63,35726,Intel,2,High-End,Mid,
Intel Xeon Gold 6242R @ 3.10Ghz,184347.4798,14.3,205,172.45,35352,Intel,0,High-End,Basic,
Intel Xeon Gold 6326 @ 2.90Ghz,119743.7603,22,185,190.96,35328,Intel,0,High-End,Basic,
Intel Core I9-12900T,36464.73,71.57,35,999.97,34999,Intel,1,High-End,Mid,High
Intel Core I7-12700K,30499.13,83.44,190,179.61,34125,Intel,0,High-End,Basic,
Intel Core I7-12700Kf,26173.3243,97.18,190,179.53,34110,Intel,0,High-End,Basic,
Intel Xeon Platinum 8260M @ 2.30Ghz,574561.85,4.41,165,205.88,33970,Intel,0,High-End,Basic,
Intel Xeon D-2799 @ 2.40Ghz,144143.81,17.48,129,261.95,33792,Intel,0,High-End,Basic,
Intel Core I9-10980Xe @ 3.00Ghz,74569.2543,33.41,165,202.47,33408,Intel,0,High-End,Basic,
Intel Xeon Gold 5220R @ 2.20Ghz,127663.84,19.49,150,222.46,33370,Intel,0,High-End,Basic,
Amd Epyc 7302,83154.4984,29.61,155,213,33015,AMD,0,High-End,Basic,
Amd Ryzen 9 3900Xt,46141.6789,53.12,105,313.04,32869,AMD,0,High-End,Basic,
Amd Ryzen 9 3900X,26770.63,91.23,105,311.92,32751,AMD,0,High-End,Basic,
Intel Xeon Platinum 8168 @ 2.70Ghz,583808.53,4.17,205,159.1,32616,Intel,0,High-End,Basic,
Amd Epyc 7302P,154356.1715,15.69,155,209.55,32480,AMD,0,High-End,Basic,
Amd Ryzen Threadripper 2990Wx,156597,15.46,250,129.9,32475,AMD,0,High-End,Basic,
Intel Xeon Gold 6252 @ 2.10Ghz,287094.5,8.42,150,216.06,32410,Intel,0,High-End,Basic,
Intel Core I7-12700F,23337.4272,103.11,65,496.43,32268,Intel,2,High-End,Mid,
Intel Xeon Gold 6230R @ 2.10Ghz,139445.9,17.23,150,214.82,32223,Intel,0,High-End,Basic,
Intel Core I9-9980Xe @ 3.00Ghz,107545.5997,22.12,165,193.37,31905,Intel,0,High-End,Basic,
Intel Xeon W-2295 @ 3.00Ghz,112200.2591,21.06,165,192,31680,Intel,0,High-End,Basic,
Intel Core I7-12700,24458.96,96.52,65,487.07,31659,Intel,2,High-End,Mid,
Amd Epyc 7282,53911.8729,43.75,120,263.59,31631,AMD,0,High-End,Basic,
Amd Ryzen 9 3900,38572.8239,59.27,65,471.7,30660,AMD,2,High-End,Mid,
Intel Core I9-9960X @ 3.10Ghz,111776.7015,20.45,165,185.79,30655,Intel,0,High-End,Basic,
Intel Xeon W-3245 @ 3.20Ghz,200145.1343,11.38,205,149.02,30549,Intel,0,High-End,Basic,
Amd Ryzen Threadripper 2970Wx,49887.33,45.49,250,121.73,30433,AMD,0,High-End,Basic,
Amd Epyc 7551P,27590.1543,81.93,180,168.4,30313,AMD,0,High-End,Basic,
Intel Xeon Gold 6246R @ 3.40Ghz,252775.8946,8.92,205,147.41,30220,Intel,0,High-End,Basic,
Intel Core I9-12900Hk,47351.95,47.58,45,671.4,30213,Intel,1,High-End,Mid,High
Intel Core I9-9990Xe @ 4.00Ghz,161294.91,13.94,255,118.28,30162,Intel,0,High-End,Basic,
Intel Xeon W-3265 @ 2.70Ghz,339395.6609,6.61,205,146.85,30105,Intel,0,High-End,Basic,
Intel Xeon Platinum 8268 @ 2.90Ghz,447865.9286,5.01,205,146.84,30103,Intel,0,High-End,Basic,
Intel Xeon Silver 4314 @ 2.40Ghz,64674.561,34.64,135,222.54,30043,Intel,0,High-End,Basic,
Amd Ryzen Threadripper 2950X,73824.3,30.28,180,166.56,29981,AMD,0,High-End,Basic,
Intel Core I9-7980Xe @ 2.60Ghz,60880.4394,36.55,165,180.86,29842,Intel,0,High-End,Basic,
Intel Core I9-12900H,46009.69,48.16,45,660.32,29714,Intel,2,High-End,Mid,
Intel Xeon Gold 6254 @ 3.10Ghz,270418.4109,8.1,200,146.78,29356,Intel,0,High-End,Basic,
Intel Xeon Gold 6148 @ 2.40Ghz,210063.69,10.28,150,193.08,28962,Intel,0,High-End,Basic,
Intel Xeon Gold 6210U @ 2.50Ghz,113711.0473,18.96,150,192.77,28915,Intel,0,High-End,Basic,
Intel Xeon Gold 6154 @ 3.00Ghz,283287.7015,7.59,200,144.24,28848,Intel,0,High-End,Basic,
Intel Core I9-10940X @ 3.30Ghz,57567.2943,37.07,165,173.45,28619,Intel,0,High-End,Basic,
Intel Xeon Gold 5317 @ 3.00Ghz,83462.4725,25.54,150,190.54,28580,Intel,0,High-End,Basic,
Intel Core I9-9940X @ 3.30Ghz,62743.198,33.77,165,172.19,28411,Intel,0,High-End,Basic,
Amd Ryzen 7 5800X,24905.6343,84.94,105,270.17,28368,AMD,0,High-End,Basic,
Amd Epyc 7401P,18641.7543,113.09,155,182.4,28271,AMD,0,High-End,Basic,
Amd Ryzen Threadripper 1950X,51040.9279,40.96,180,155.76,28037,AMD,0,High-End,Basic,
Intel Xeon W-2275 @ 3.30Ghz,82921.84,25.09,165,169.12,27904,Intel,0,High-End,Basic,
Intel Xeon Gold 6238 @ 2.10Ghz,201260.7015,10.23,140,197.26,27617,Intel,0,High-End,Basic,
Intel Xeon Gold 6212U @ 2.40Ghz,149140,13.73,165,166.48,27470,Intel,0,High-End,Basic,
Intel Core I5-12600K,20728.9686,98.67,150,182.86,27429,Intel,0,High-End,Basic,
Intel Core I7-12700H,34078.49,59.94,45,608.69,27391,Intel,2,High-End,Mid,
Intel Xeon W-2195 @ 2.30Ghz,147933.4574,13.77,140,195.18,27325,Intel,0,High-End,Basic,
Intel Xeon Gold 6226R @ 2.90Ghz,102316.0056,19.83,150,181.41,27211,Intel,0,High-End,Basic,
Intel Core I5-12600Kf,19461.2786,104.17,150,181.24,27186,Intel,0,High-End,Basic,
Amd Ryzen 7 5700X,22296.43,90.52,65,416.38,27065,AMD,2,High-End,Mid,
Intel Xeon Gold 6208U @ 2.90Ghz,104919.2443,19.12,150,179.34,26901,Intel,0,High-End,Basic,
Intel Core I9-7960X @ 2.80Ghz,73896.6329,26.94,165,161.81,26699,Intel,0,High-End,Basic,
Intel Core I9-10920X @ 3.50Ghz,50706.8543,39.26,165,161.79,26696,Intel,0,High-End,Basic,
Intel Xeon Gold 6230 @ 2.10Ghz,148394.3,13.4,125,213.25,26657,Intel,0,High-End,Basic,
Intel Core I9-7940X @ 3.10Ghz,40929.2359,48.3,165,160.65,26508,Intel,0,High-End,Basic,
Intel Xeon Platinum 8160 @ 2.10Ghz,175142.559,11.28,150,176.56,26485,Intel,0,High-End,Basic,
Amd Epyc 7272,45148.4065,43.68,120,220.38,26446,AMD,0,High-End,Basic,
Intel Xeon Gold 5318Y @ 2.10Ghz,101489.77,19.4,165,160,26400,Intel,0,High-End,Basic,
Intel Xeon Gold 6242 @ 2.80Ghz,183825.4898,10.66,150,175.26,26288,Intel,0,High-End,Basic,
Intel Xeon W-2265 @ 3.50Ghz,70394.08,27.53,165,157.48,25984,Intel,0,High-End,Basic,
Intel Xeon W-3235 @ 3.30Ghz,136462.3543,14.19,180,144.3,25974,Intel,0,High-End,Basic,
Intel Xeon W-3323 @ 3.50Ghz,70766.93,27.27,220,117.61,25875,Intel,0,High-End,Basic,
Intel Xeon Gold 5220 @ 2.20Ghz,124862.9908,15.37,125,205.92,25740,Intel,0,High-End,Basic,
Intel Core I9-11900K @ 3.50Ghz,29676.6229,64.17,125,204.31,25539,Intel,0,High-End,Basic,
Amd Ryzen 7 5800X3D,44667.43,42.58,105,242.93,25508,AMD,0,High-End,Basic,
Amd Epyc 7351P,55107.23,34.48,155,164.41,25484,AMD,0,High-End,Basic,
Intel Core I9-11900Kf @ 3.50Ghz,28335.1086,66.82,125,203.12,25390,Intel,0,High-End,Basic,
Intel Core I9-9920X @ 3.50Ghz,74495.43,25.32,165,153.28,25291,Intel,0,High-End,Basic,
Amd Ryzen Threadripper 2920X,56747.77,33.12,180,140.01,25203,AMD,0,High-End,Basic,
Intel Xeon W-1370P @ 3.60Ghz,30722.0943,61.17,125,201.62,25202,Intel,0,High-End,Basic,
Intel Xeon Gold 5218R @ 2.10Ghz,94626.3472,19.85,125,201.52,25191,Intel,0,High-End,Basic,
Amd Epyc 7501,269645.12,6.89,155,160.81,24925,AMD,0,High-End,Basic,
Intel Xeon Gold 6138T @ 2.00Ghz,561362.96,3.29,125,198.4,24800,Intel,0,High-End,Basic,
Intel Core I7-11700K @ 3.60Ghz,22147.29,83.33,125,197.99,24749,Intel,0,High-End,Basic,
Intel Xeon E5-2699 V4 @ 2.20Ghz,444285.0772,4.13,145,169.79,24619,Intel,0,High-End,Basic,
Amd Ryzen 7 5700G,17374.81,105.34,65,377.62,24545,AMD,2,High-End,Mid,
Intel Xeon Gold 6150 @ 2.70Ghz,179788.27,10.16,165,148.42,24489,Intel,0,High-End,Basic,
Intel Xeon Gold 6246 @ 3.30Ghz,232152.8154,7.85,165,148.16,24446,Intel,0,High-End,Basic,
Intel Xeon Gold 6248 @ 2.50Ghz,219235.8,8.24,150,161.56,24234,Intel,0,High-End,Basic,
Intel Core I7-11700Kf @ 3.60Ghz,20805.03,86.55,125,193.17,24147,Intel,0,High-End,Basic,
Intel Xeon W-1370 @ 2.90Ghz,28112.1443,63.42,80,298.85,23908,Intel,0,High-End,Basic,
Intel Xeon W-11955M @ 2.60Ghz,46457.11,38.3,45,530.19,23859,Intel,2,High-End,Mid,
Amd Ryzen 7 3800Xt,29205.3405,60.81,105,226.81,23815,AMD,0,High-End,Basic,
Intel Core I9-11900F @ 2.50Ghz,28335.8543,62.67,65,366.37,23814,Intel,2,High-End,Mid,
Intel Core I9-10900K @ 3.70Ghz,29080.0629,60.95,125,190.14,23768,Intel,0,High-End,Basic,
Intel Core I9-11980Hk @ 2.60Ghz,43474.31,40.53,45,525.09,23629,Intel,2,High-End,Mid,
Intel Xeon Silver 4310 @ 2.10Ghz,45395.9789,38.75,120,196.57,23589,Intel,0,High-End,Basic,
Amd Epyc 7351,65919.1343,26.66,155,152.04,23566,AMD,0,High-End,Basic,
Intel Xeon E5-2696 V3 @ 2.30Ghz,186275.86,9.43,145,162.45,23556,Intel,0,High-End,Basic,
Intel Core I5-12500H,23191.27,75.66,45,522.9,23530,Intel,2,High-End,Mid,
Intel Xeon W-1390 @ 2.80Ghz,35047.1543,50.03,80,293.94,23515,Intel,0,High-End,Basic,
Intel Xeon E5-2679 V4 @ 2.50Ghz,201488.14,8.7,200,117.56,23512,Intel,0,High-End,Basic,
Intel Core I9-10900Kf @ 3.70Ghz,25353.0543,69.14,125,188.06,23508,Intel,0,High-End,Basic,
Intel Xeon E-2388G @ 3.20Ghz,40193.23,43.6,95,247.37,23501,Intel,0,High-End,Basic,
Intel Xeon Gold 6146 @ 3.20Ghz,228333.34,7.65,165,142.01,23432,Intel,0,High-End,Basic,
Intel Core I9-7920X @ 2.90Ghz,27963.75,62.11,140,166.37,23292,Intel,0,High-End,Basic,
Amd Ryzen 7 3800X,18537.3563,93.63,105,221.67,23275,AMD,0,High-End,Basic,
Intel Xeon W-2175 @ 2.50Ghz,29455.15,58.77,140,165.82,23215,Intel,0,High-End,Basic,
Intel Xeon E5-2696 V4 @ 2.20Ghz,208344.8515,8.31,145,160.05,23207,Intel,0,High-End,Basic,
Intel Xeon Platinum 8176 @ 2.10Ghz,208326.209,8.3,165,140.48,23179,Intel,0,High-End,Basic,
Intel Core I9-11900 @ 2.50Ghz,25941.4116,66.45,65,355.65,23117,Intel,2,High-End,Mid,
Intel Core I9-10850K @ 3.60Ghz,30457.3708,56.45,125,184.44,23055,Intel,0,High-End,Basic,
Intel Xeon W-1290P @ 3.70Ghz,74419.3686,23.04,125,183.97,22997,Intel,0,High-End,Basic,
Amd Ryzen Threadripper 1920X,22370.2543,76.35,180,127.24,22903,AMD,0,High-End,Basic,
Intel Xeon Gold 6138 @ 2.00Ghz,124006.1815,13.74,125,182.81,22851,Intel,0,High-End,Basic,
Amd Ryzen 7 Pro 3700,24607.3543,69.09,65,350.76,22800,AMD,2,High-End,Mid,
Intel Core I9-11900Kb @ 3.30Ghz,40193.23,42.24,65,350.29,22769,Intel,2,High-End,Mid,
Intel Xeon Gold 6140 @ 2.30Ghz,74570,22.73,140,162.38,22733,Intel,0,High-End,Basic,
Amd Ryzen 7 3700X,27405.9664,61.81,65,349.48,22716,AMD,2,High-End,Mid,
Intel Core I7-12700T,25279.23,66.93,35,648.24,22688,Intel,2,High-End,Mid,
Intel Core I9-10900X @ 3.70Ghz,41759.2,40.51,165,137.47,22683,Intel,0,High-End,Basic,
Intel Core I9-11950H @ 2.60Ghz,41460.92,40.59,45,501.56,22570,Intel,2,High-End,Mid,
Intel Xeon Gold 6152 @ 2.10Ghz,236173.6298,7.04,140,159.22,22291,Intel,0,High-End,Basic,
Intel Xeon Gold 6136 @ 3.00Ghz,186425,8.91,150,148.44,22266,Intel,0,High-End,Basic,
Intel Xeon Gold 6334 @ 3.60Ghz,191675.4737,8.62,165,134.3,22160,Intel,0,High-End,Basic,
Intel Xeon Gold 5218 @ 2.30Ghz,104818.5748,15.73,125,176.94,22117,Intel,0,High-End,Basic,
Amd Ryzen 5 5600X,16180.9443,101.79,65,339.82,22088,AMD,2,High-End,Mid,
Intel Xeon W-1290E @ 3.50Ghz,37285,44.13,95,232.27,22066,Intel,0,High-End,Basic,
Intel Xeon W-2255 @ 3.70Ghz,58015.46,28.33,165,133.59,22042,Intel,0,High-End,Basic,
Amd Epyc 7551,221780.1284,7.4,180,122.25,22005,AMD,0,High-End,Basic,
Intel Core I9-9900X @ 3.50Ghz,48842.6043,33.39,165,132.54,21868,Intel,0,High-End,Basic,
Intel Xeon Gold 6130T @ 2.10Ghz,148245.16,10.97,125,174.43,21803,Intel,0,High-End,Basic,
Intel Xeon E5-2698 V4 @ 2.20Ghz,67761.759,23.94,135,161.15,21755,Intel,0,High-End,Basic,
Intel Xeon E5-2697 V4 @ 2.30Ghz,65174.18,24.65,145,148.59,21545,Intel,0,High-End,Basic,
Intel Core I7-11700F @ 2.50Ghz,21624.5543,73.96,65,329.95,21447,Intel,0,High-End,Basic,
Intel Core I9-11900H @ 2.50Ghz,40715.22,39.17,45,475.22,21385,Intel,2,High-End,Mid,
Intel Core I5-12600,17819.9929,89.42,65,328.73,21368,Intel,0,High-End,Basic,
Intel Core I7-11800H @ 2.30Ghz,29455.15,54.08,45,474.74,21363,Intel,2,High-End,Mid,
Amd Ryzen 5 5600,14167.5543,112.37,65,328.46,21350,AMD,0,High-End,Basic,
Intel Core I9-7900X @ 3.30Ghz,20132.4086,78.93,140,152.21,21310,Intel,0,High-End,Basic,
Amd Epyc 7281,81948.7015,19.32,155,136.97,21230,AMD,0,High-End,Basic,
Intel Xeon Gold 5315Y @ 3.20Ghz,94530.8976,16.74,140,151.61,21225,Intel,0,High-End,Basic,
Intel Core I7-11850H @ 2.50Ghz,29455.15,53.7,45,471.38,21212,Intel,2,High-End,Mid,
Intel Xeon W-2155 @ 3.30Ghz,114121.1823,13.85,140,151.41,21198,Intel,0,High-End,Basic,
Intel Xeon Gold 6132 @ 2.60Ghz,159576.0715,9.83,140,150.3,21042,Intel,0,High-End,Basic,
Intel Xeon Silver 4310T @ 2.30Ghz,49826.1826,31.39,105,199.74,20973,Intel,0,High-End,Basic,
Intel Core I9-10900F @ 2.80Ghz,26099.5,59.66,65,321.25,20881,Intel,0,High-End,Basic,
Amd Epyc 7262,42650.3115,36.41,155,134.37,20827,AMD,0,High-End,Basic,
Intel Xeon Gold 6130 @ 2.10Ghz,131988.9,11.71,125,165.77,20721,Intel,0,High-End,Basic,
Intel Core I9-10900E @ 2.80Ghz,33109.08,46.53,65,317.82,20658,Intel,0,High-End,Basic,
Intel Core I7-11700 @ 2.50Ghz,23637.9443,64.95,95,216.72,20588,Intel,0,High-End,Basic,
Amd Ryzen 7 Pro 4750G,22370.2543,68.57,65,316.46,20570,AMD,0,High-End,Basic,
Intel Xeon W-1290 @ 3.20Ghz,46158.83,33.17,80,256.66,20533,Intel,0,High-End,Basic,
Amd Epyc 7451,150267.4984,10.16,180,113.73,20471,AMD,0,High-End,Basic,
Intel Core I9-10900 @ 2.80Ghz,29080.0629,52.43,65,314.55,20446,Intel,0,High-End,Basic,
Intel Xeon Gold 6244 @ 3.60Ghz,221472.9,6.87,150,136.01,20402,Intel,0,High-End,Basic,
Intel Xeon E5-2695 V4 @ 2.10Ghz,44152.897,34.41,120,169.77,20373,Intel,0,High-End,Basic,
Intel Core I5-12500,15063.14,100.54,65,312.45,20309,Intel,0,High-End,Basic,
Intel Core I9-11900T @ 1.50Ghz,32736.23,46.07,35,577.86,20225,Intel,2,High-End,Mid,
Amd Ryzen 7 4700G,23787.83,63.13,65,309.82,20138,AMD,0,High-End,Basic,
Intel Xeon E5-2699 V3 @ 2.30Ghz,40456.4621,37.12,145,138.88,20138,Intel,0,High-End,Basic,
Intel Xeon E5-2690 V4 @ 2.60Ghz,37158.9767,40.32,135,148.85,20094,Intel,0,High-End,Basic,
Amd Ryzen 5 5500,11856.63,125.46,65,306.9,19949,AMD,0,High-End,Basic,
Intel Xeon W-1350P @ 4.00Ghz,24309.0743,61.15,65,306.69,19935,Intel,0,High-End,Basic,
Amd Ryzen 5 5600G,13420.3629,110.19,65,305.08,19830,AMD,0,High-End,Basic,
Intel Core I5-12450H,23191.27,63.73,45,440.44,19820,Intel,2,High-End,Mid,
Intel Xeon Gold 6226 @ 2.70Ghz,131987.4086,11.19,125,158.48,19810,Intel,0,High-End,Basic,
Intel Xeon E5-2698 V3 @ 2.30Ghz,253981.6915,5.81,135,146.62,19794,Intel,0,High-End,Basic,
Intel Core I5-11600K @ 3.90Ghz,15658.9543,94.2,125,158.25,19781,Intel,0,High-End,Basic,
Intel Core I5-11600Kf @ 3.90Ghz,17336.7793,84.91,125,157.93,19742,Intel,0,High-End,Basic,
Intel Core I5-12400F,13048.2586,112.35,65,302.44,19659,Intel,0,High-End,Basic,
Intel Core I5-12400,14317.44,101.93,65,301.09,19571,Intel,0,High-End,Basic,
Amd Epyc 7252,28427.5754,51.28,120,162.92,19550,AMD,0,High-End,Basic,
Intel Core I9-9900Ks @ 4.00Ghz,66986.231,21.73,127,153.69,19518,Intel,0,High-End,Basic,
Intel Xeon Silver 4216 @ 2.10Ghz,81777.9362,17.74,100,194.51,19451,Intel,0,High-End,Basic,
Intel Xeon W-2245 @ 3.90Ghz,74562.543,19.45,155,125.46,19446,Intel,0,High-End,Basic,
Intel Core I7-10700K @ 3.80Ghz,24532.0386,58.6,125,154.22,19277,Intel,0,High-End,Basic,
Intel Xeon W-1270P @ 3.80Ghz,31915.96,44.96,95,202.58,19245,Intel,0,High-End,Basic,
Intel Xeon E5-2697 V3 @ 2.60Ghz,14928.1683,96.1,145,132.67,19238,Intel,0,High-End,Basic,
Intel Xeon Gold 6126 @ 2.60Ghz,86501.2,16.57,125,153.78,19223,Intel,0,High-End,Basic,
Intel Core I7-10700Kf @ 3.80Ghz,23115.9543,61.75,125,153.14,19143,Intel,0,High-End,Basic,
Intel Core I7-12800H,34078.49,41.69,45,423.37,19052,Intel,2,High-End,Mid,
Intel Xeon Silver 4309Y @ 2.80Ghz,50521.175,28.06,105,181.05,19010,Intel,0,High-End,Basic,
Intel Xeon W-1350 @ 3.30Ghz,20878.8543,67.65,80,236.75,18940,Intel,0,High-End,Basic,
Intel Xeon W-11855M @ 3.20Ghz,33556.5,41.91,45,419.05,18857,Intel,2,High-End,Mid,
Intel Xeon Silver 4214R @ 2.40Ghz,52781.3917,26.63,100,188.46,18846,Intel,0,High-End,Basic,
Amd Ryzen 5 3600Xt,24423.1664,57.34,95,197.69,18780,AMD,0,High-End,Basic,
Intel Xeon E-2356G @ 3.20Ghz,24831.81,56.33,80,234.47,18757,Intel,0,High-End,Basic,
Intel Core I9-9900K @ 3.60Ghz,46382.54,30.09,95,197.02,18716,Intel,0,High-End,Basic,
Intel Core I9-9900Kf @ 3.60Ghz,37443.8341,37.22,95,196.75,18691,Intel,0,High-End,Basic,
Intel Xeon Gold 6144 @ 3.50Ghz,156373.29,8.9,150,124.38,18656,Intel,0,High-End,Basic,
Intel Xeon W-1270E @ 3.40Ghz,27367.19,50.78,80,232.94,18635,Intel,0,High-End,Basic,
Intel Xeon W-1290T @ 1.90Ghz,36837.58,37.27,35,525.98,18409,Intel,2,High-End,Mid,
Intel Xeon D-2183It @ 2.20Ghz,131541.48,10.42,100,183.85,18385,Intel,0,High-End,Basic,
Intel Core I5-11600 @ 2.80Ghz,16137.6937,84.64,65,281.81,18318,Intel,0,High-End,Basic,
Intel Core I9-9820X @ 3.30Ghz,51080.45,26.7,165,110.84,18288,Intel,0,High-End,Basic,
Amd Ryzen 5 3600X,15658.9543,87.08,95,192.47,18285,AMD,0,High-End,Basic,
Intel Xeon E-2378 @ 2.60Ghz,28784.02,47.28,65,280.74,18248,Intel,0,High-End,Basic,
Intel Xeon E7-8880 V3 @ 2.30Ghz,9917.81,137.17,150,121.63,18244,Intel,0,High-End,Basic,
Intel Core I7-9800X @ 3.80Ghz,48470.5,28.06,165,110.54,18240,Intel,0,High-End,Basic,
Intel Xeon W-2145 @ 3.70Ghz,91323.6419,14.88,140,130.18,18225,Intel,0,High-End,Basic,
Intel Xeon W-1270 @ 3.40Ghz,26994.34,49.98,80,226.17,18093,Intel,0,High-End,Basic,
Intel Xeon D-2187Nt @ 2.00Ghz,148319.73,9.08,110,164.27,18070,Intel,0,High-End,Basic,
Intel Core I9-10900Te @ 1.80Ghz,33109.08,40.29,35,511.09,17888,Intel,2,High-End,Mid,
Amd Ryzen 5 3600,11445.7493,116.11,65,274.18,17822,AMD,0,High-End,Basic,
