RAM_Name,Version,Size_GB,Speed,USD,Price,Rating
Crucial RAM 16GB Kit (2x8GB) DDR4 2400 MHz CL17 Laptop Memory CT2K8G4SFS824A,DDR4,16GB,2400,29.99,2399.2,4.8
DDR3 16GB Kit (4 x 4gb) RAM DDR3 1333MHz SODIMM RAM PC3 10600S CL9 1.5V 204 Pin Non-ECC Black Board for Mac/iMac/Laptop,DDR3,16GB,1333,32.99,2639.2,5
DDR4 Ram Asgard Valkyrie Series 16GB (2 x 8GB) 288-Pin DRAM DDR4 3200MHz CL16-20-20-40 1.35V Dual Channel Desktop Memory Model - White,DDR4,16GB,3200,54.99,4399.2,4.3
"DDR4 Ram,16GB (2 x 8GB) 3200MHz(PC4-25600) CL18 1.35V 288-Pin Gloway DDR4 UDIMM Aluminum Desktop Compter Memory Kit- White",DDR4,16GB,3200,38.99,3119.2,4.6
"DDR4 Ram,16GB (2 x 8GB) 3200MHz(PC4-25600) CL18 1.35V 288-Pin Gloway DDR4 UDIMM Aluminum Desktop Compter Memory Kit- White",DDR4,16GB,3200,38.99,3119.2,4.6
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 16GB (2x8GB) 3000MT/s CL16-18-18-38 1.35V Desktop Computer Memory UDIMM - Red (F4-3000C16D-16GVRB),DDR4,16GB,3000,105.88,8470.4,3.9
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 16GB (2x8GB) 3000MT/s CL16-18-18-38 1.35V Desktop Computer Memory UDIMM - Red (F4-3000C16D-16GVRB),DDR4,16GB,3000,93.99,7519.2,4.8
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 16GB (2x8GB) 3200MT/s CL16-18-18-38 1.35V Desktop Computer Memory UDIMM - Black (F4-3200C16D-16GVKB),DDR4,16GB,3200,93.99,7519.2,4.7
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 16GB (2x8GB) 3600MT/s CL16-19-19-39 1.35V Desktop Computer Memory UDIMM - Black (F4-3600C16D-16GVKC),DDR4,16GB,3600,49.99,3999.2,4.2
G.SKILL RipjawsX Series (Intel XMP) DDR3 RAM 16GB (2x8GB) 1600MT/s CL10-10-10-30 1.50V Desktop Computer Memory UDIMM (F3-12800CL10D-16GBXL),DDR3,16GB,1600,27.99,2239.2,4.7
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 16GB (2x8GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM (F4-3600C18D-16GTZN),DDR4,16GB,3600,21.99,1759.2,4.3
KLEVV Hynix Chips 16GB (1 x 16GB) DDR4 UDIMM PC4-25600 3200MHz CL22 Unbuffered Non-ECC 1.2V 288 Pin Desktop Ram Memory (KD4AGUA8M-32N220A),DDR4,16GB,3200,26.99,2159.2,4.7
KLEVV Hynix Chips DDR5 5600MHz 16GB (1x16GB) SODIMM Memory 262-Pin 1.1V CL46 SK Hynix A-die Laptop Notebook Ram Memory (KD5AGSA80-56G460A),DDR5,16GB,5600,39.99,3199.2,4.6
KLEVV Hynix Chips DDR5 5600MHz 16GB UDIMM Memory 288-Pin 1.1V CL46 RAM SK Hynix A-die Memory Module (KD5AGUA80-56G460A),DDR5,16GB,5600,39.99,3199.2,4.7
"OWC 16GB (2x8GB) ram Upgrade PC3-12800 DDR3L 1600MHz sodimm 204 Pin CL11 Memory Upgrade Kit Compatible with Late iMac, Mac Mini, and MacBook Pro Computer",DDR3,16GB,1600,36.99,2959.2,4.7
Patriot Memory Signature DDR3 16GB (2 x 8GB CL11 PC3-12800 (1600MHz) CAS 11 DIMM Kit with Heatshield,DDR3,16GB,(1600,26.99,2159.2,4.7
Patriot Memory Signature Premium DDR4 16GB (2x8GB) 3200MHz (PC4-25600) UDIMM Kit W/HEATSHIELD,DDR4,16GB,3200,33.99,2719.2,4.6
Patriot Memory Viper 4 Blackout Series DDR4 16GB (2 x 8GB) 4400MHz Kit,DDR4,16GB,4400,71.99,5759.2,4.6
Patriot Memory Viper Steel DDR4 16GB (1 x 16GB) 3600MHz Module - PVS416G360C8,DDR4,16GB,3600,31.99,2559.2,4.6
Patriot Memory Viper Steel DDR4 16GB (2 x 8GB) 3000MHz Kit w/Gunmetal Grey heatshield - PVS416G300C6K,DDR4,16GB,3000,33.99,2719.2,4.6
Patriot Memory Viper Steel DDR4 16GB (2 x 8GB) 3600MHz Kit - PVS416G360C7K,DDR4,16GB,3600,39.99,3199.2,4.6
Patriot Memory Viper Steel DDR4 16GB (2 x 8GB) 3600MHz Kit - PVS416G360C8K,DDR4,16GB,3600,38.99,3119.2,4.4
Patriot Memory Viper Steel DDR4 16GB (2 x 8GB) 4000MHz CL 16-16-16-36 UDIMM Low-Latency Gaming Memory Kits - PVS416G400C6K,DDR4,16GB,4000,74.99,5999.2,4.6
Patriot Memory Viper Steel DDR4 16GB (2 x 8GB) 4400MHz Performance Memory Kit - PVS416G440C9K,DDR4,16GB,4400,75.99,6079.2,4.6
Patriot Memory Viper Steel DDR4 16GB 2666MHz CL15 SODIMM Memory Module PVS416G240C5S,DDR4,16GB,2666,26.99,2159.2,4.6
Patriot Memory Viper Steel Series DDR4 16GB (1 x 16GB) 3200MHz CL18 SODIMM Single - PVS416G320C8S,DDR4,16GB,3200,28.99,2319.2,4.7
Patriot Viper 4 Blackout Series DDR4 16GB (2 x 8GB) 3600MHz Kit CL18,DDR4,16GB,3600,37.99,3039.2,4.6
Patriot Viper Elite II DDR4 16GB(1 x 16GB) 2666MHz Single Memory Module,DDR4,16GB,2666,26.99,2159.2,4.5
Patriot Viper Elite II DDR4 16GB(1 x 16GB) 3200MHz UDIMM Desktop Gaming Single Module - PVE2416G320C8,DDR4,16GB,3200,27.99,2239.2,4.5
Patriot Viper Elite II DDR4 16GB(1 x 16GB) 3600MHz Single Memory Module,DDR4,16GB,3600,27.99,2239.2,4.5
Patriot Viper Elite II DDR4 16GB(2 x 8GB) 3200MHz Kit,DDR4,16GB,3200,34.99,2799.2,4.5
Patriot Viper Elite II DDR4 16GB(2 x 8GB) 3600MHz Kit,DDR4,16GB,3600,34.99,2799.2,4.5
Patriot Viper Elite II DDR4 16GB(2 x 8GB) 4000MHz Kit,DDR4,16GB,4000,39.99,3199.2,4.5
Patriot Viper Steel DDR4 16GB (2 x 8GB) 3200MHz Performance Memory Kit - PVS416G320C6K,DDR4,16GB,3200,37.99,3039.2,4.6
Patriot Viper Steel DDR4 16GB (2 x 8GB) 4000MHz Performance Memory Kit - PVS416G400C9K,DDR4,16GB,4000,62.99,5039.2,4.6
Patriot Viper Steel DDR4 16GB 2666MHz CL18 SODIMM Memory Module PVS416G266C8S,DDR4,16GB,2666,26.99,2159.2,4.7
"PNY Performance 16GB DDR4 DRAM 3200MHz (PC4-25600) CL22 (Compatible with 2933MHz, 2666MHz, 2400MHz or 2133MHz) 1.2V Notebook/Laptop (SODIMM) Computer Memory Kit – MN16GSD43200-TB",DDR4,16GB,3200,25.99,2079.2,4.7
PNY XLR8 Gaming 16GB (2x8GB) DDR4 DRAM 3200MHz (PC4-25600) CL16 1.35V RGB Dual Channel Desktop (DIMM) Memory – MD16GK2D4320016XRGB,DDR4,16GB,3200,41.99,3359.2,4.7
Rasalas 16GB Kit (4x4GB) DDR3 1333MHz PC3-10600 PC3-10600U Non ECC Unbuffered 1.5V CL9 2RX8 Dual Rank 240 Pin UDIMM Desktop Memory Ram Module,DDR3,16GB,1333,30.99,2479.2,4.6
Silicon Power DDR3 16GB (2 x 8GB) 1600MHz (PC3 12800) 240-Pin CL11 1.35V / 1.5V Unbuffered UDIMM PC Computer Desktop Memory Module Ram Upgrade,DDR3,16GB,1600,17.12,1369.6,4.7
Silicon Power DDR3 16GB (2x8GB) 1600MHz (PC3 12800) RAM 240-pin CL11 1.5V Unbuffered UDIMM Desktop Memory with Heatsink (SP016GBLTU160ND2J7),DDR3,16GB,1600,21.38,1710.4,4.7
Silicon Power DDR4 16GB (2x8GB) 2666MHz 260-pin CL19 1.2V SODIMM Laptop RAM Computer Memory SU016GBSFU266B22AF,DDR4,16GB,2666,28.99,2319.2,4.7
Silicon Power DDR4 16GB (2x8GB) Zenith RGB RAM Gaming 3200MHz (PC4 25600) 288-pin C16 1.35V UDIMM Desktop Memory Module - Low Voltage SP016GXLZU320BDD,DDR4,16GB,3200,40.97,3277.6,4.6
Silicon Power DDR4 16GB 2666 MHz CL19 260-pin Laptop RAM Computer Memory SU016GBSFU266B02AF,DDR4,16GB,2666,24.97,1997.6,4.9
Silicon Power DDR4 16GB Kit (2x8GB) 3200MHz (PC4-25600) CL22 UDIMM 288-Pin Desktop Computer Memory SP016GBLFU320B22,DDR4,16GB,3200,25.97,2077.6,4.6
Silicon Power Hynix IC Compatible for Apple DDR3 DDR3L 16GB (2x8GB) RAM 1600MHz (PC3 12800) 204 pin CL11 1.35V Non ECC Unbuffered SODIMM Laptop Notebook Memory RAM Module Upgrade,DDR3,16GB,1600,16.87,1349.6,4.8
TEAMGROUP T-Force Vulcan DDR5 16GB (2x8GB) 5200MHz (PC5-41600) CL40 Desktop Memory Module Ram (Black) for 600 700 Series Chipset XMP 3.0 Ready - FLBD516G5200HC40CDC01,DDR5,16GB,5200,89.99,7199.2,4.6
"TECMIYO 16GB Kit(2x8GB) DDR3L/DDR3 1600MHz Ram PC3L-12800U CL11 1.35V/1.5V PC3 12800 Unbuffered Non-ECC Udimm 240 Pin 2Rx8 Dual Rank Desktop Memory Ram,Upgrade Module Ram for PC Computer (2x8GB RAM)",DDR3,16GB,1600,20.99,1679.2,4.7
"TECMIYO DDR3L/DDR3 1600MHz 16GB Kit(2x8GB) Ram PC3L-12800S CL11 1.35V/1.5V PC3 12800 Unbuffered Non-ECC Sodimm 204 Pin 2Rx8 Dual Rank Laptop Memory Ram Upgrade Module Ram for Notebook Laptop,2x8GB RAM",DDR3,16GB,1600,21.99,1759.2,4.7
"Timetec 16GB KIT(2x8GB) Compatible for Apple DDR3L 1600MHz for Mac Book Pro(Early/Late 2011,Mid 2012), iMac(Mid 2011,Late 2012,Early/Late 2013,Late 2014,Mid 2015), Mac Mini(Mid 2011,Late 2012) MAC RAM",DDR3,16GB,1600,16.99,1359.2,4.8
"Timetec 16GB KIT(2x8GB) Compatible for Apple DDR3L 1600MHz for Mac Book Pro(Early/Late 2011,Mid 2012), iMac(Mid 2011,Late 2012,Early/Late 2013,Late 2014,Mid 2015), Mac Mini(Mid 2011,Late 2012) MAC RAM",DDR3,16GB,1600,16.99,1359.2,4.8
Timetec 16GB KIT(2x8GB) DDR3L / DDR3 1600MHz (DDR3L-1600) PC3L-12800 / PC3-12800 Non-ECC Unbuffered 1.35V/1.5V CL11 2Rx8 Dual Rank 204 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR3,16GB,1600,17.99,1439.2,4.7
Timetec 16GB KIT(2x8GB) DDR3L / DDR3 1600MHz (DDR3L-1600) PC3L-12800 / PC3-12800 Non-ECC Unbuffered 1.35V/1.5V CL11 2Rx8 Dual Rank 240 Pin UDIMM Desktop PC Computer Memory RAM(SDRAM) Module Upgrade,DDR3,16GB,1600,17.99,1439.2,4.7
Timetec 16GB KIT(2x8GB) DDR3L / DDR3 1600MHz (DDR3L-1600) PC3L-12800 / PC3-12800 Non-ECC Unbuffered 1.35V/1.5V CL11 2Rx8 Dual Rank 240 Pin UDIMM Desktop PC Computer Memory RAM(SDRAM) Module Upgrade,DDR3,16GB,1600,17.99,1439.2,4.7
Timetec Pinnacle Konduit 16GB KIT(2x8GB) DDR4 3200MHz PC4-25600 CL16-18-18-38 XMP2.0 Overclocking 1.35V Compatible for AMD and Intel Desktop Gaming PC Memory Module RAM - White,DDR4,16GB,3200,32.99,2639.2,4.6
VisionTek OCPC Xtreme Pista DDR5 RAM 16GB (2 x 8GB) 5200MHz DIMM Kit - Desktop - Titanium - 901509,DDR5,16GB,5200,108.83,8706.4,5
"VOLKINA 16GB (2x8GB) DDR3 1600MHz PC3-12800 1.35V SODIMM 204-Pin Non-ECC SO-DIMM Laptop, Notebook RAM Memory Modules",DDR3,16GB,1600,21.75,1740.0,None
Yongxinsheng 16GB (8GBx2) DDR3 1866MHz (PC3 14900) CL13 Desktop Memory 240Pins 1.5V Non-ECC Unbuffered Ddr3 UDIMM RAM - Black,DDR3,16GB,1866,22.99,1839.2,4.6
CORSAIR Vengeance DDR5 RAM 128GB (4x32GB) 5600MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMK128GX5M4B5600C40),DDR5,28GB,5600,439.99,35199.2,4.7
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 128GB (4x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM - Black (F4-3600C18Q-128GVK),DDR4,28GB,3600,42.76,3420.8,4.5
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 128GB (4x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM (F4-3600C18Q-128GTZN),DDR4,28GB,3600,27.99,2239.2,1
G.SKILL Trident Z Royal Series (Intel XMP) DDR4 RAM 128GB (4x32GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM - Silver (F4-3600C18Q-128GTRS),DDR4,28GB,3600,39.99,3199.2,4.5
32GB (2x16GB) DDR4-2666MHz PC4-21300 ECC RDIMM 2Rx8 1.2V Registered Server Memory by NEMIX RAM,DDR4,32GB,-2666,72.99,5839.2,4.4
32GB DDR4 3200MHz PC4-25600 1.2V 2Rx8 260-Pin SODIMM Laptop RAM Memory Module M471A4G43AB1-CWE,DDR4,32GB,3200,68,5440.0,4.7
32GB(4X 8GB) DDR3L/DDR3 1600MHz Desktop RAM 32GB PC3L-12800U DIMM RAM PC3 12800 CL11 1.35V/1.5V DDR3-1600 2RX8 240-Pin Unbuffered Non-ECC Upgrade Module Ram Desktop Memory RAM,DDR3,32GB,1600,38.96,3116.8,4.5
【DDR4 RAM】 Gigastone Desktop RAM 32GB (2x16GB) DDR4 32GB DDR4-2666MHz PC4-21300 CL19 1.2V 288 Pin Unbuffered Non ECC UDIMM for PC Computer Desktop Memory Module (Desktop ONLY),DDR4,32GB,-2666,55.99,4479.2,4.4
AORUS Memory ARS32G60D5R (DDR5 32GB (2x16GB) 6000MHz),DDR5,32GB,6000,104.99,8399.2,4.6
A-Tech 32GB (2x16GB) DDR4 2666 MHz UDIMM PC4-21300 (PC4-2666V) CL19 DIMM Non-ECC Desktop RAM Memory Modules,DDR4,32GB,2666,95.04,7603.2,4.6
"A-Tech 32GB (2x16GB) RAM Replacement for Synology D4ECSO-2666-16G, D4ES01-16G | DDR4 2666MHz PC4-21300 ECC SODIMM 2Rx8 1.2V Memory Upgrade for NAS DiskStation, RackStation, FlashStation, & NVR DVA",DDR4,32GB,2666,103.99,8319.2,4.7
Corsair CMK32GX4M2A2666C16 Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2666MHz (PC4-21300) C16 Memory Kit - Black,DDR4,32GB,2666,69.99,5599.2,4.8
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 4800MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2A4800C40),DDR5,32GB,4800,99.99,7999.2,4.7
CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6000MHz CL30 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2B6000C30),DDR5,32GB,6000,109.99,8799.2,4.6
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 6000MHz CL36 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2D6000C36),DDR5,32GB,6000,124.99,9999.2,4.8
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory - White (CMK32GX5M2B6400C32W),DDR5,32GB,6400,129.99,10399.2,4.5
"Corsair Vengeance LPX 32GB (2x16GB) DDR4 3600MHz C16 Desktop Memory (High Performance Overclocking, Pure Aluminum Heatspreader, Custom Performance PCB) Black",DDR4,32GB,3600,89.99,7199.2,4.7
"Corsair Vengeance Performance SODIMM Memory 32GB (2x16GB) DDR4 3200MHz CL22 Unbuffered for 8th Generation or Newer Intel Core™ i7, and AMD Ryzen 4000 Series Notebooks",DDR4,32GB,3200,66.99,5359.2,4.7
Corsair Vengeance SODIMM 32GB (1x32GB) DDR4 3200MHz CL22 Memory for Laptop/Notebooks (Intel 11th Generation Core Processors Support) Black CMSX32GX4M1A3200C22,DDR4,32GB,3200,64.99,5199.2,4.5
Crucial Pro RAM 32GB Kit (2x16GB) DDR4 3200MT/s (or 3000MT/s or 2666MT/s) Desktop Memory CP2K16G4DFRA32A,DDR4,32GB,3200,444.99,35599.2,3.3
Crucial Pro RAM 32GB Kit (2x16GB) DDR5 5600MT/s (or 5200MT/s or 4800MT/s) Desktop Memory CP2K16G56C46U5,DDR5,32GB,5600,9.99,799.2,3.9
Crucial Pro RAM 32GB Kit (2x16GB) DDR5 5600MT/s (or 5200MT/s or 4800MT/s) Desktop Memory CP2K16G56C46U5,DDR5,32GB,5600,339.99,27199.2,4.5
Crucial RAM 32GB Kit (2x16GB) DDR4 2400 MHz CL17 Laptop Memory CT2K16G4SFD824A,DDR4,32GB,2400,56.99,4559.2,4.8
Crucial RAM 32GB Kit (2x16GB) DDR5 4800MT/s CL40 Desktop Memory CT2K16G48C40U5,DDR5,32GB,4800,54.99,4399.2,4.8
Crucial RAM 32GB Kit (2x16GB) DDR5 5200MT/s (or 4800MT/s) Laptop Memory CT2K16G52C42S5,DDR5,32GB,5200,179.99,14399.2,4.8
"Crucial RAM 32GB Kit (2x16GB) DDR5 5600MHz (or 5200MHz or 4800MHz) Laptop Memory CT2K16G56C46S5, Black",DDR5,32GB,5600,76.49,6119.2,4.5
Crucial RAM 32GB Kit (2x16GB) DDR5 5600MT/s (or 5200MT/s or 4800MT/s) Desktop Memory CT2K16G56C46U5,DDR5,32GB,5600,76.49,6119.2,4.8
DDR4 RAM Memory DDR4 Asgard 32GB(16GBx2) 3200MHz ddr4 ram Loki Series ddr4 32GB for Desktop PC RAM,DDR4,32GB,3200,67.99,5439.2,4.1
G.SKILL 32GB (2 x 16GB) Ripjaws V Series DDR4 PC4-25600 3200MHz for Intel Z170 Platform Desktop Memory Model F4-3200C16D-32GVK,DDR4,32GB,3200,88.99,7119.2,4.8
G.SKILL AEGIS Series (Intel XMP) DDR4 RAM 32GB (4x8GB) 3200MT/s CL16-18-18-38 1.35V Desktop Computer Memory UDIMM (F4-3200C16Q-32GIS),DDR4,32GB,3200,0.99,79.2,3
G.SKILL Flare X5 Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3038F16GX2-FX5),DDR5,32GB,6000,32.99,2639.2,4.2
G.SKILL Flare X5 Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL32-38-38-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3238F16GX2-FX5),DDR5,32GB,6000,19.99,1599.2,4.3
G.SKILL Flare X5 Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3636F16GX2-FX5),DDR5,32GB,6000,23.99,1919.2,4
G.SKILL Ripjaws DDR5 SO-DIMM Series DDR5 RAM 32GB (2x16GB) 4800MT/s CL34-34-34-76 1.10V Unbuffered Non-ECC Notebook/Laptop Memory SODIMM (F5-4800S3434A16GA2-RS),DDR5,32GB,4800,159.99,12799.2,4.8
G.SKILL Ripjaws DDR5 SO-DIMM Series DDR5 RAM 32GB (2x16GB) 5200MT/s CL38-38-38-83 1.10V Unbuffered Non-ECC Notebook/Laptop Memory SODIMM (F5-5200S3838A16GA2-RS),DDR5,32GB,5200,1,80.0,4.8
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 5600MT/s CL36-36-36-89 1.20V Desktop Computer Memory UDIMM - Matte Black (F5-5600J3636C16GA2-RS5K),DDR5,32GB,5600,984.99,78799.2,5
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3636F16GX2-RS5K),DDR5,32GB,6000,279.99,22399.2,4.7
G.SKILL Ripjaws S5 Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6400MT/s CL32-39-39-102 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6400J3239G16GX2-RS5K),DDR5,32GB,6400,34.99,2799.2,4.7
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 3600MT/s CL16-19-19-39 1.35V Desktop Computer Memory UDIMM - Black (F4-3600C16D-32GVKC),DDR4,32GB,3600,104.99,8399.2,4.7
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM - Black (F4-3600C18D-32GVK),DDR4,32GB,3600,22.99,1839.2,3.5
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 4000MT/s CL18-22-22-42 1.40V Desktop Computer Memory UDIMM - Black (F4-4000C18D-32GVK),DDR4,32GB,4000,369.99,29599.2,4.1
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 3600MT/s CL16-19-19-39 1.35V Desktop Computer Memory UDIMM (F4-3600C16D-32GTZNC),DDR4,32GB,3600,33.99,2719.2,1
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 3600MT/s CL18-22-22-42 1.35V Desktop Computer Memory UDIMM (F4-3600C18D-32GTZN),DDR4,32GB,3600,59.99,4799.2,4
G.SKILL Trident Z Neo Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 4000MT/s CL18-22-22-42 1.40V Desktop Computer Memory UDIMM (F4-4000C18D-32GTZN),DDR4,32GB,4000,209.99,16799.2,5
G.SKILL Trident Z Royal Series (Intel XMP) DDR4 RAM 32GB (2x16GB) 4000MT/s CL18-22-22-42 1.40V Desktop Computer Memory UDIMM - Silver (F4-4000C18D-32GTRS),DDR4,32GB,4000,199.99,15999.2,4.2
G.SKILL Trident Z5 Neo Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory UDIMM - Matte Black (F5-6000J3038F16GX2-TZ5N),DDR5,32GB,6000,104.99,8399.2,4.6
